video_path,text,source,category,split
video1.mp4,"Auto en una carretera de noche, noche lluviosa, ciudad cyberpunk, filmado en 35mm, colores vivos.","custom","scene","train"
video2.mp4,"Despegue de un avion de pasajero","custom","scene","train"
video3.mp4,"Gato estresado se agarra la cabeza mientras grita","custom","scene","train"
video4.mp4,"Boceto de chica anime caminando","custom","scene","train"
video5.mp4,"Chihuahua es bañado en un valde","custom","scene","train"
video6.mp4,"Un primer plano de un hombre enviando mensajes de texto en un iPhone 15. El enfoque en el dispositivo muestra su diseño elegante y funciones avanzadas, resaltando la interacción del usuario con la última tecnología.","custom","scene","train"
video7.mp4,"Una toma en cámara lenta de un hombre andando en patineta.","custom","scene","train"
video8.mp4,"Una mujer joven se relaja sobre una manta en la playa de arena, tomando sol y bebiendo agua de una botella. La escena muestra un momento de ocio en un día soleado. Perfecta para temas de estilo de vida playero, relajación y actividad junto al mar.","custom","scene","train"
video9.mp4,"Plano muy largo de un hombre observando el mar mientras está sentado en una playa con enormes rocas.","custom","scene","train"
video10.mp4,"Toma panorámica de un sendero en la cima de una montaña durante la hora dorada.","custom","scene","train"
